artist;name
https://data.rkd.nl/artists/104994;Heilig, Cor
https://data.rkd.nl/artists/105060;Kusters, Erik
https://data.rkd.nl/artists/105092;Ligteringen, Ellen
https://data.rkd.nl/artists/105130;Haselaar, Henni
https://data.rkd.nl/artists/105167;Bogtman, Cathrien
https://data.rkd.nl/artists/105220;Bever de la Quintinie, Marguerite van
https://data.rkd.nl/artists/10530;Boom, Karel Alexander August Jan
https://data.rkd.nl/artists/105418;Bordeaux, Pierre
https://data.rkd.nl/artists/105434;Danforth, Moseley Isaac
https://data.rkd.nl/artists/105465;Boudy, Noël
https://data.rkd.nl/artists/105472;Diederich, Wilhelm Hunt
https://data.rkd.nl/artists/105476;Di Suvero, Mark
https://data.rkd.nl/artists/10548;Boon, Adri
https://data.rkd.nl/artists/105526;Cartier-Bresson, Henri
https://data.rkd.nl/artists/105551;Bourgeois, Louis
https://data.rkd.nl/artists/10572;Boone, André
https://data.rkd.nl/artists/10574;Boone, Daniël
https://data.rkd.nl/artists/10612;Boorsma, Rudolf
https://data.rkd.nl/artists/106152;Duong, Sebastiaan
https://data.rkd.nl/artists/10618;Boosten, Ger (1899-1986)
https://data.rkd.nl/artists/106211;Leeuw, Arjen de
https://data.rkd.nl/artists/106251;Vroege, Roline
https://data.rkd.nl/artists/106330;Hoegen, Philippine
https://data.rkd.nl/artists/106420;Oomen, Arenda
https://data.rkd.nl/artists/106488;Kuijper, Ed
https://data.rkd.nl/artists/106494;Noort, Karen van
https://data.rkd.nl/artists/106557;Boon, Channa
https://data.rkd.nl/artists/10670;Boquet, Marie Virginie
https://data.rkd.nl/artists/10692;Borchert, Martin
https://data.rkd.nl/artists/10696;Borcht, Hendrik van der (II)
https://data.rkd.nl/artists/107009;Stijn, Carima van
https://data.rkd.nl/artists/107070;Genee, Eduard
https://data.rkd.nl/artists/107078;Arriëns, Jeanne Frédérique
https://data.rkd.nl/artists/107082;Berfelo, Jan Eduard
https://data.rkd.nl/artists/107244;Rooyakkers, Dorian
https://data.rkd.nl/artists/10728;Borel, Arnold
https://data.rkd.nl/artists/107324;IJsendoorn, Lieselot
https://data.rkd.nl/artists/107579;Rees, Adriaan
https://data.rkd.nl/artists/107595;Meijers, Jet
https://data.rkd.nl/artists/107671;Boogaert, Adriaen
https://data.rkd.nl/artists/107673;Immink, Bob
https://data.rkd.nl/artists/107674;Iersel, Jan van
https://data.rkd.nl/artists/107687;McCoy, Ann
https://data.rkd.nl/artists/107697;Klaassen, Rob
https://data.rkd.nl/artists/107716;Becchetti, Giuseppe
